name,almaMater,networth
Amos Hostetter Jr.,"['Amherst College', 'Harvard University', 'Economics']",3.2E9
Ana Patricia Botín,"['Bryn Mawr College', 'Harvard Business School']",1.35E8
Anand Mahindra,"['Lawrence School Lovedale', 'Harvard University', 'Harvard Business School']",1.2E9
Anand Mahindra,"['Lawrence School Lovedale', 'Harvard University', 'Harvard Business School']",1.2E9
Anil Ambani,"['Wharton School of the University of Pennsylvania', 'University of Mumbai']",4.3E9
Anil Kumar,"['Imperial College London', 'Indian Institute of Technology Bombay', 'Wharton School of the University of Pennsylvania', 'The Doon School']",50.0
Alejandro Santo Domingo,Harvard University,4.6E9
Allan Gray (investor),"['Rhodes University', 'Harvard Business School']",1.05E10
Ayman Asfari,"['University of Pennsylvania', 'Villanova University']",1.2E9
Abílio Diniz,"['Columbia University', 'University of Dayton', 'Fundação Getúlio Vargas']",4.4E9
Alan Trefler,Dartmouth College,1.0E9
Ben Stein,"['Columbia University', 'Yale Law School']",2.0E7
Bernard Broermann,Harvard University,2.9E9
Bill Ackman,"['Harvard College', 'Harvard Business School']",2.6E9
Bill Ackman,"['Harvard College', 'Harvard Business School']",2.6E9
Brian L. Roberts,Wharton School of the University of Pennsylvania,1.47E9
Bruno Schroder,"['University College Oxford', 'François Rabelais University', 'Harvard Business School']",5.0E9
Charlie Munger,"['California Institute of Technology', 'University of Michigan', 'Berkshire Hathaway', 'Wesco Financial', 'Daily Journal Corporation', 'Harvard Law School']",1.21E9
Chung Yong-jin,Brown University,1.3E9
Carl Icahn,"['Princeton University', 'New York University School of Medicine']",1.7E10
David Einhorn (hedge fund manager),Cornell University,1.93E9
David Rockefeller,"['University of Chicago', 'London School of Economics', 'Harvard University']",3.0E9
Dirk Edward Ziff,"['Columbia University', 'Harvard University']",5.0E9
Dirk Edward Ziff,"['Columbia University', 'Harvard University']",5.0E9
Donald Trump Jr.,University of Pennsylvania,2.75E8
Dustin Moskovitz,Harvard University,9.2E9
Daniel A. D'Aniello,"['Syracuse University', 'Harvard Business School']",3.0E9
Daniel M. Ziff,Columbia University,5.0E9
Daniel Och,University of Pennsylvania,3.9E9
Daniel S. Loeb,Columbia University,2.6E9
Eduardo Saverin,Harvard University,7.2E9
Ernesto Bertarelli,"['Babson College', 'Harvard Business School']",8.7E9
Eugenio Lopez III,"['Bowdoin College', 'Harvard Business School']",9.0E7
Frank Batten,"['University of Virginia', 'Harvard University']",2.3E9
Frederick R. Koch,Harvard University,4.0E9
George Kaiser,"['Harvard College', 'Harvard Business School']",7.1E9
George Kaiser,"['Harvard College', 'Harvard Business School']",7.1E9
George Lindemann,Wharton School of the University of Pennsylvania,4.0E9
Gianfelice Rocca,"['University of Milan', 'Harvard Business School']",4.7E9
Gabe Newell,Harvard University,2.2E9
Gordon McLendon,"['Yale University', 'Harvard Law School']",2.5E8
Hiroshi Mikitani,"['Hitotsubashi University', 'Harvard University']",8.7E9
Howard Marks (investor),"['University of Chicago', 'Wharton School of the University of Pennsylvania']",2.0E9
Hüsnü Özyeğin,"['Oregon State University', 'Harvard University']",2.7E9
Hansjörg Wyss,"['ETH Zurich', 'Harvard Business School']",6.1E9
Henry Kravis,"['Columbia Business School', 'Claremont McKenna College']",4.8E9
Henry Swieca,"['Columbia Business School', 'Stony Brook University']",1.3E9
Irvine Laidlaw Baron Laidlaw,"['Columbia Business School', 'University of Leeds']",7.45E8
Irwin M. Jacobs,"['Massachusetts Institute of Technology', 'Cornell University', 'Doctor of Science']",1.23E9
Jerry Speyer,Columbia University,4.0E9
Jim Balsillie,"['Wilfrid Laurier University', 'University of Toronto', 'Harvard Business School']",8.0E8
Jim Pattison,University of British Columbia,6.6E9
John Doerr,"['Rice University', 'Harvard Business School']",4.1E9
Jamie Dimon,"['Tufts University', 'Harvard Business School']",1.1
Jeff Bezos,Princeton University,4.89E10
Jeff Greene,"['Johns Hopkins University', 'Harvard Business School']",3.0E9
Jerome Kohlberg Jr.,"['Swarthmore College', 'Columbia Law School', 'Harvard Business School']",1.2E9
Jerome Kohlberg Jr.,"['Swarthmore College', 'Columbia Law School', 'Harvard Business School']",1.2E9
John J. Fisher,"['Princeton University', 'Stanford University']",2.4E9
John Kluge,Columbia University,6.5E9
John Ordronaux (doctor),"['Dartmouth College', 'Harvard Law School', 'National_Medical_School']",2757000.0
John Ordronaux (doctor),"['Dartmouth College', 'Harvard Law School', 'National_Medical_School']",2757000.0
John Paulson,"['New York University', 'Harvard Business School', 'Master of Business Administration', 'Bachelor of Science']",9.8E9
Joshua Harris (businessman),"['Wharton School of the University of Pennsylvania', 'Harvard Business School']",2.4E9
Joshua Harris (businessman),"['Wharton School of the University of Pennsylvania', 'Harvard Business School']",2.4E9
J. Christopher Flowers,Harvard University,1.4E9
Jacky Xu,"['Nanyang Technological University', 'University of Liverpool', 'Harvard University']",1000000.0
Jaime Aristotle Alip,"['University of the Philippines', 'Harvard Business School']",6000000.0
Jaime Gilinski Bacal,Harvard Business School,2.9E9
Kenneth C. Griffin,Harvard University,7.3E9
Keshub Mahindra,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']",6.15E8
Keshub Mahindra,"['University of Pennsylvania', 'Wharton School of the University of Pennsylvania']",6.15E8
Laurene Powell Jobs,"['University of Pennsylvania', 'Stanford Graduate School of Business', 'Master of Business Administration', 'Bachelor of Science', 'Bachelor of Arts']",1.67E10
Lee Jae-yong,"['Seoul National University', 'Keio University', 'Harvard Business School']",7.9E9
Leon G. Cooperman,"['Columbia University', 'Hunter College']",3.7E9
Leonard Lauder,"['Columbia University', 'University of Pennsylvania']",9.1E9
Leonard Lauder,"['Columbia University', 'University of Pennsylvania']",9.1E9
Louis Bacon,"['Columbia Business School', 'Middlebury College']",1.81E9
Louis V. Gerstner Jr.,"['Dartmouth College', 'Harvard Business School']",6.3E8
Louis V. Gerstner Jr.,"['Dartmouth College', 'Harvard Business School']",6.3E8
Malcolm Forbes,"['Princeton University', 'Lawrenceville School']",4.0E8
Marc Rowan,Wharton School of the University of Pennsylvania,2.83E9
Marcel Herrmann Telles,"['Federal University of Rio de Janeiro', 'Harvard University']",1.28E10
Marcos Galperin,"['Stanford University', 'Wharton School of the University of Pennsylvania']",4.0E8
Meg Whitman,"['Princeton University', 'Harvard Business School']",2.1E9
Meg Whitman,"['Princeton University', 'Harvard Business School']",2.1E9
Michael Moritz,"['Christ Church Oxford', 'Wharton School of the University of Pennsylvania']",3.0E9
Mario Gabelli,"['Columbia Business School', 'Fordham University']",1.1E9
Marjorie Yang,"['Massachusetts Institute of Technology', 'Harvard Business School']",1.0E9
Mark Pears,Harvard Business School,2.1E9
Mark Pincus,"['University of Pennsylvania', 'Harvard University']",1.1E9
Mark Pincus,"['University of Pennsylvania', 'Harvard University']",1.1E9
Mark Stevens (venture capitalist),"['University of Southern California', 'Harvard University']",1.83E9
Mark Zuckerberg,Harvard University,4.6E10
Mortimer Zuckerman,"['Wharton School of the University of Pennsylvania', 'McGill University', 'Harvard Law School', 'Bachelor of Civil Law']",2.4E9
Mortimer Zuckerman,"['Wharton School of the University of Pennsylvania', 'McGill University', 'Harvard Law School', 'Bachelor of Civil Law']",2.4E9
Patrick Soon-Shiong,"['University of California Los Angeles', 'University of British Columbia', 'University of the Witwatersrand']",1.18E10
Paul Singer (businessman),"['University of Rochester', 'Juris Doctor', 'Bachelor of Science', 'Harvard Law School']",2.1E9
Peter B. Lewis,Princeton University,1.25E9
Peter Buck (restaurateur),"['Columbia University', 'Bowdoin College', 'Doctor of Humane Letters']",2.6E9
Peter Livanos,Columbia University,7.0E9
Peter Lynch,"['Boston College', 'Wharton School of the University of Pennsylvania']",3.52E8
Phillip Ean Cohen,"['University of Melbourne', 'Harvard Business School']",500.0
Robert D. Ziff,"['Cornell University', 'Harvard University']",5.0E9
Robert D. Ziff,"['Cornell University', 'Harvard University']",5.0E9
