name,almaMater,networth
Amos Hostetter Jr.,"['Amherst College', 'Harvard University', 'Economics']",3.2E9
Ana Patricia Botín,"['Bryn Mawr College', 'Harvard Business School']",1.35E8
Anand Mahindra,"['Lawrence School Lovedale', 'Harvard University', 'Harvard Business School']",1.2E9
Andrew Black (gambling entrepreneur),University of Exeter,1.25E8
Andrew Cherng,"['Baker University', 'University of Missouri']",3.2E9
Andrew Gower,University of Cambridge,1.38E8
Andrew Mason,"['Northwestern University', 'Bienen School of Music']",2.0E8
Andrey Melnichenko,Plekhanov Russian University of Economics,8.0E9
André Esteves,Federal University of Rio de Janeiro,2.2E9
Andrónico Luksic Craig,Babson College,1.46E7
Angela Ahrendts,Ball State University,1.5E8
Anil Ambani,"['Wharton School of the University of Pennsylvania', 'University of Mumbai']",4.3E9
Anil Kumar,"['Imperial College London', 'Indian Institute of Technology Bombay', 'Wharton School of the University of Pennsylvania', 'The Doon School']",50.0
Anton Rupert,University of Pretoria,2.3E9
Aldo Bensadoun,McGill University,1.7E9
Alec Gores,Western Michigan University,2.1E9
Alessandro Gadotti,Sapienza University of Rome,7.5E7
Alexander Nesis,Saint Petersburg State Institute of Technology,2.4E9
Alexander Putilov,Tyumen_Industrial_Institute,1.1E9
Alexei Mordashov,Northumbria University,1.32E10
Alfred I. du Pont,Phillips Academy,5.6E7
Ali Mufuruki,Reutlingen University,1.1E8
Aliko Dangote,Al-Azhar University,1.8E10
Alisher Usmanov,Moscow State Institute of International Relations,1.29E10
Alistair MacLean,University of Glasgow,73347.0
Allan Gray (investor),"['Rhodes University', 'Harvard Business School']",1.05E10
Aloke Lohia,University of Delhi,1.3E9
Aloysio de Andrade Faria,"['Northwestern University', 'Federal University of Minas Gerais']",2.2E9
Amar Bose,"['Massachusetts Institute of Technology', 'Doctor of Philosophy']",1.0E9
Antônio Ermírio de Moraes,Colorado School of Mines,3.1E9
Arif Naqvi,"['London School of Economics', 'Karachi Grammar School']",5.0E8
Arkady Rotenberg,D. Mendeleev University of Chemical Technology of Russia,1.26E9
Arnaud Lagardère,Paris Dauphine University,2.4E9
Arthur Blank,Babson College,2.6E9
Arthur Wagner,"['Trinity College Cambridge', 'Eton College']",49907.0
Austen S. Cargill II,"['Oregon State University', 'University of Minnesota']",3.3E9
Aydın Doğan,Marmara University,1.0E9
Ayman Asfari,"['University of Pennsylvania', 'Villanova University']",1.2E9
Ayman Hariri,Georgetown University,1.04E9
Azim Premji,Stanford University,1.65E10
Abílio Diniz,"['Columbia University', 'University of Dayton', 'Fundação Getúlio Vargas']",4.4E9
Adi Godrej,MIT Sloan School of Management,4.0E9
Ajay Kalsi,"['London School of Economics', 'University of Cambridge']",1.2E9
Ajay Piramal,University of Mumbai,1.6E9
Al-Waleed bin Talal,"['Syracuse University', 'Menlo College']",2.4E10
Al Pacino,HB Studio,1.35E8
Alan Howard (hedge fund manager),Imperial College London,1.5E9
Barron Hilton,University of Southern California,2.5E9
Ben Silbermann,Yale University,1.6E9
Ben Stein,"['Columbia University', 'Yale Law School']",2.0E7
Bernard Arnault,École Polytechnique,3.61E10
Bernard Marcus,Rutgers University,3.5E9
Bernardo Matte,Pontifical Catholic University of Chile,2.7E9
Bharat Desai,"['University of Michigan', 'Indian Institute of Technology Bombay']",2.5E9
Bill Ackman,"['Harvard College', 'Harvard Business School']",2.6E9
Bill Gross,"['Duke University', 'UCLA Anderson School of Management']",2.3E9
Billy Graham,Wheaton College (Illinois),2.5E7
Bjørn Kjos,"['University of Oslo', 'Royal Norwegian Air Force Academy']",300.0
Boaz Weinstein,University of Michigan,4.5E8
Bob Parsons,University of Baltimore,2.3E9
Boris Muzalev,Odessa National Medical University,1.61E8
Brian Acton,Stanford University,4.6E9
Brian Chesky,Rhode Island School of Design,3.3E9
Bruce Halle,Eastern Michigan University,5.1E9
Bruce Karsh,"['Duke University', 'University of Virginia']",1.65E9
Bruno Schroder,"['University College Oxford', 'François Rabelais University', 'Harvard Business School']",5.0E9
Bülent Eczacıbaşı,"['Massachusetts Institute of Technology', 'University of London', 'Deutsche Schule Istanbul']",1.7E9
Baba Kalyani,"['Massachusetts Institute of Technology', 'Birla Institute of Technology and Science']",2.7E9
Babak Zanjani,Ege University,1.35E10
Charles Mbire,"['University of Essex', 'University of Leicester']",200.0
Charles Sirois,"['Laval University', 'Université de Sherbrooke']",8.11E8
Charles W. Engelhard Jr.,University of Oxford,2.5E8
Charlie Munger,"['California Institute of Technology', 'University of Michigan', 'Berkshire Hathaway', 'Wesco Financial', 'Daily Journal Corporation', 'Harvard Law School']",1.21E9
Chen Fashu,China Europe International Business School,3.0E9
Chen Guangbiao,"['Peking University', 'Tsinghua University', 'Nanjing University', 'Nanjing University of Chinese Medicine']","['4.0E8', '8.1E8']"
Chen Jianqiang,China Europe International Business School,7.8E8
Chung Mong-koo,Hanyang University,6.8E9
C. Dean Metropoulos,Babson College,2.4E9
Craig McCaw,Stanford University,1.84E9
Craig Newmark,Case Western Reserve University,4.0E8
Crispin Odey,Christ Church Oxford,1.1E9
Cyrus S. Poonawalla,Brihan Maharashtra College of Commerce,8.5E9
Caleb Chan,"['University of California Berkeley', 'University of San Francisco']",9.8E8
Cargill MacMillan Jr,Yale University,2.6E9
Carl Bennet,University of Gothenburg,2.8E9
Carl Icahn,"['Princeton University', 'New York University School of Medicine']",1.7E10
Carlos Bulgheroni,University of Buenos Aires,5.1E9
Carlos Slim,National Autonomous University of Mexico,5.3E10
Charlene de Carvalho-Heineken,Leiden University,1.34E10
Charles Bronfman,McGill University,2.1E9
Charles Cruft (showman),"['Birkbeck University of London', 'Ardingly College']",30476.0
Charles D. Tandy,Texas Christian University,2.84E7
Charles Koch,"['Massachusetts Institute of Technology', 'Master of Science']",4.33E10
Daryl Katz,University of Alberta,3.5E9
David Azrieli,"['Technion – Israel Institute of Technology', 'Carleton University', 'Bachelor of Science']",3.1E9
David E. Shaw,"['Stanford University', 'University of California San Diego']",3.6E9
David Filo,"['Stanford University', 'Tulane University']",2.6E9
David G. Booth,"['University of Chicago', 'University of Kansas']",1.3E9
David Geffen,University of Texas at Austin,6.5E9
David Harding (financier),St Catharine's College Cambridge,1.0E9
David Koch,"['Massachusetts Institute of Technology', 'Master of Science']",4.33E10
David L. Hallal,University of New Hampshire,7514610.0
David Rockefeller,"['University of Chicago', 'London School of Economics', 'Harvard University']",3.0E9
David Ross (businessman),University of Nottingham,1.0E9
David Rubenstein,"['University of Chicago', 'Duke University']",2.5E9
David Tepper,"['Carnegie Mellon University', 'University of Pittsburgh']",1.14E10
DeShawn Snow,Michigan State University,1500000.0
DeVon Franklin,University of Southern California,1000000.0
Deborah Meaden,City College Brighton & Hove,4.0E7
Dee Haslam,University of Tennessee,1.8E9
Denis O'Brien,"['Boston College', 'University College Dublin']",5.8E9
Denise Coates,University of Sheffield,3.9E9
Dick Enthoven,"['University of Southern California', 'London School of Economics']",1.1E9
Diego Della Valle,University of Bologna,1.6E9
Dilip Shanghvi,University of Calcutta,1.75E10
Ding Lei,University of Electronic Science and Technology of China,1.06E10
Ding Shijia,Fujian_Institute_of_Economics_and_Management,1.0E9
Dirk Edward Ziff,"['Columbia University', 'Harvard University']",5.0E9
Dmitry Mazepin,Moscow State Institute of International Relations,1.4E9
Dmitry Troitsky,Leningrad_Shipbuilding_Institute,1.0E9
Don Hankey,University of Southern California,2.3E9
Donald Bren,University of Washington,1.51E10
Donald Fisher,University of California Berkeley,3.3E9
Donald Sterling,"['California State University Los Angeles', 'Southwestern Law School']",3.1E9
Dorabji Tata,"['University of Mumbai', 'Gonville and Caius College Cambridge']",1.0E7
Drew Houston,Massachusetts Institute of Technology,1.3E9
Dan Gilbert (businessman),"['Michigan State University', 'Wayne State University Law School']",3.9E9
Daniel A. D'Aniello,"['Syracuse University', 'Harvard Business School']",3.0E9
Daniel Willis James,Amherst College,2.6E7
