name,almaMater,networth
Alejandro Santo Domingo,Harvard University,4.6E9
Alan Trefler,Dartmouth College,1.0E9
Ben Silbermann,Yale University,1.6E9
Bernard Broermann,Harvard University,2.9E9
Chung Yong-jin,Brown University,1.3E9
Cargill MacMillan Jr,Yale University,2.6E9
David Einhorn (hedge fund manager),Cornell University,1.93E9
Donald Trump Jr.,University of Pennsylvania,2.75E8
Dustin Moskovitz,Harvard University,9.2E9
Daniel M. Ziff,Columbia University,5.0E9
Daniel Och,University of Pennsylvania,3.9E9
Daniel S. Loeb,Columbia University,2.6E9
Eduardo Saverin,Harvard University,7.2E9
Frederick R. Koch,Harvard University,4.0E9
Frederick W. Smith,Yale University,3.6E9
Gabe Newell,Harvard University,2.2E9
Jerry Speyer,Columbia University,4.0E9
Jeff Bezos,Princeton University,4.89E10
John Kluge,Columbia University,6.5E9
J. Christopher Flowers,Harvard University,1.4E9
Kenneth C. Griffin,Harvard University,7.3E9
Mark Zuckerberg,Harvard University,4.6E10
Matt Cohler,Yale University,7.0E8
Peter B. Lewis,Princeton University,1.25E9
Peter Livanos,Columbia University,7.0E9
Steve Feinberg,Princeton University,1.25E9
Steve Wynn,University of Pennsylvania,2.3E9
Sanford I. Weill,Cornell University,1.0E9
Tony Hsieh,Harvard University,8.4E8
Ted Turner,Brown University,2.2E9
Whitney MacMillan,Yale University,4.6E9
William Randolph Hearst III,Harvard University,1.8E9
