name,ivy_league,education,networth,birthYear
Amos Hostetter Jr.,True,"['Amherst College', 'Harvard University', 'Economics']",3.2E9,1937
Ana Patricia Botín,True,"['Bryn Mawr College', 'Harvard Business School']",1.35E8,1960
Anand Mahindra,True,"['Lawrence School Lovedale', 'Harvard University', 'Harvard Business School']",1.2E9,1955
Anil Ambani,True,"['Wharton School of the University of Pennsylvania', 'University of Mumbai']",4.3E9,1959
Anil Kumar,True,"['Imperial College London', 'Indian Institute of Technology Bombay', 'Wharton School of the University of Pennsylvania', 'The Doon School']",50.0,1958
Anthony Pritzker,True,"['Dartmouth College', 'University of Chicago']",3.4E9,1961
Alejandro Santo Domingo,True,"['Harvard University', 'Hotchkiss School']",4.6E9,1977
Alexander Knaster,True,"['Carnegie Mellon University', 'Harvard Business School']",2.2E9,1959
Allan Gray (investor),True,"['Rhodes University', 'Harvard Business School']",1.05E10,1938
Ayman Asfari,True,"['University of Pennsylvania', 'Villanova University']",1.2E9,1958
Abigail Johnson,True,"['Hobart and William Smith Colleges', 'Harvard Business School']",1.37E10,1961
Abílio Diniz,True,"['Columbia University', 'University of Dayton', 'Fundação Getúlio Vargas']",4.4E9,1936
Alan Leventhal,True,"['Dartmouth College', 'Northwestern University']",1.0E9,1953
Alan Trefler,True,['Dartmouth College'],1.0E9,1956
Belmiro de Azevedo,True,"['Stanford University', 'Harvard University', 'University of Porto']",1.5E9,1938
Ben Silbermann,True,['Yale University'],1.6E9,1982
Ben Stein,True,"['Columbia University', 'Yale Law School']",2.0E7,1944
Bill Ackman,True,"['Harvard College', 'Harvard Business School']",2.6E9,1966
Brian L. Roberts,True,"['Wharton School of the University of Pennsylvania', 'Germantown Academy']",1.47E9,1959
Bruno Schroder,True,"['University College Oxford', 'François Rabelais University', 'Harvard Business School', 'Eton College']",5.0E9,1933
Charlie Munger,True,"['California Institute of Technology', 'University of Michigan', 'Berkshire Hathaway', 'Wesco Financial', 'Daily Journal Corporation', 'Harvard Law School']",1.21E9,1924
Chung Yong-jin,True,['Brown University'],1.3E9,1968
